Period,Component_A,Component_B,Component_C,Component_D,Component_E,Component_F,Component_G,Component_H,Component_I,Component_J
2022-01,1250,850,2340,450,1890,675,3200,920,1450,780
2022-02,1340,920,2180,420,1920,690,3100,950,1380,800
2022-03,1180,780,2450,480,1850,710,3350,890,1520,760
2022-04,1420,960,2290,510,2010,730,3180,980,1420,820
2022-05,1510,1020,2560,490,2100,750,3480,1010,1590,840
2022-06,1380,880,2380,470,1980,720,3280,940,1480,810
2022-07,1620,1100,2710,540,2240,790,3680,1080,1720,890
2022-08,1580,1050,2650,520,2180,770,3590,1040,1650,870
2022-09,1450,950,2490,500,2050,740,3420,980,1550,830
2022-10,1710,1150,2820,570,2350,820,3820,1120,1790,920
2022-11,1680,1120,2780,560,2310,810,3760,1100,1760,910
2022-12,1820,1240,3010,610,2520,870,4080,1210,1920,980
2023-01,1290,880,2410,460,1950,700,3290,950,1490,800
2023-02,1390,950,2250,430,1980,710,3190,980,1420,820
2023-03,1220,810,2530,490,1910,730,3450,920,1570,780
2023-04,1470,990,2360,520,2070,750,3270,1010,1460,840
2023-05,1560,1050,2640,500,2160,770,3580,1040,1640,860
2023-06,1420,910,2450,480,2040,740,3370,970,1520,830
2023-07,1670,1130,2790,550,2300,810,3780,1110,1770,910
2023-08,1630,1080,2730,530,2240,790,3690,1070,1700,890
2023-09,1500,980,2570,510,2110,760,3520,1010,1600,850
2023-10,1760,1180,2900,580,2410,840,3930,1150,1840,940
2023-11,1730,1150,2860,570,2370,830,3870,1130,1810,930
2023-12,1870,1270,3090,620,2580,890,4190,1240,1970,1000
2024-01,1330,910,2480,470,2010,720,3390,980,1530,820
2024-02,1430,980,2320,440,2040,730,3290,1010,1460,840
2024-03,1260,840,2610,500,1970,750,3550,950,1620,800
2024-04,1520,1020,2430,530,2130,770,3370,1040,1500,860
2024-05,1610,1080,2720,510,2220,790,3680,1070,1690,880
2024-06,1460,940,2520,490,2100,760,3470,1000,1570,850
2024-07,1720,1160,2870,560,2360,830,3890,1140,1820,930
2024-08,1680,1110,2810,540,2300,810,3800,1100,1750,910
2024-09,1550,1010,2650,520,2170,780,3620,1040,1650,870
2024-10,1810,1210,2980,590,2470,860,4040,1180,1890,960
2024-11,1780,1180,2940,580,2430,850,3980,1160,1860,950
2024-12,1920,1300,3170,630,2640,910,4300,1270,2020,1020
